, Brand , Model Name , Screen Size , Colour , Hard Disk Size , CPU Model , RAM Memory Installed Size , Operating System , Special Feature , Graphics Card Description ,Price, Graphics Coprocessor , CPU Speed , Hard Disk Description , Item Weight , Connectivity Technology , Graphics Processor Manufacturer , Resolution , Total USB Ports , Processor Count , CPU Manufacturer , Human Interface Input , Form Factor 
101, Lenovo , Lenovo ThinkPad , 14 Inches ,, 256 GB , Intel Core i5 , 8 GB , Windows , Touchscreen , Integrated ,"₹20,499.00",, 2.3 GHz ,,,,,,,,,,
102, HP , 15-eg3026TU , 39.6 Centimetres , Natural Silver , 512 GB , Core i5 , 16 GB , Windows 11 Home ," Fingerprint Reader, FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare ", Integrated ,"₹73,990.00",,,,,,,,,,,,
103, Dell , 5490-cr , 14 Inches , Black , 1 TB , Core i5 Family , 16 GB , Windows 10 Pro ," Anti Glare Screen, Thin ", Integrated ,"₹27,839.00",,,,,,,,,,,,
104, Lenovo , V15 , 15 Centimetres , Gray , 512 GB , AMD Ryzen 5 5500U , 8 GB , DOS ,, Integrated ,"₹38,499.00", AMD Radeon Graphics ,,,,,,,,,,,
105, ASUS , Vivobook 15 (2023) , 15.6 Inches , Quiet Blue , 512 GB , Core i3 , 8 GB , Windows 11 Home , Backlit Keyboard , Integrated ,"₹45,990.00",,,,,,,,,,,,
106, Lenovo , Thinkpad T460 , 14 Inches , Black , 256 GB , Core i5 , 16 GB , DOS , Numeric Keypad , Integrated ,"₹18,498.00",,,,,,,,,,,,
107, HP , HP Laptop 15s-eq2144AU , 15.6 Inches , Natural Silver , 512 GB , AMD Ryzen 5 5500U , 8 GB , Windows 11 ," Micro Edge, Anti Glare, Dual Speakers, Built in Alexa, Multi Touch Gesture, Lightweight ", Integrated ,"₹44,490.00",,,,,,,,,,,,
108, ASUS , Vivobook Pro 15 OLED , 15.6 Inches ,, 512 GB , Ryzen 5 , 16 GB , Windows 11 Home ," Light Weight, Thin ", Dedicated ,"₹75,960.00",, 4.2 GHz ,,,,,,,,,,
109, HP , 14s- fy1005AU , 14 Inches , Natural Silver , 512 GB , AMD Ryzen 7 5700U , 16 GB , Windows 11 Home ," Full HD, Micro-Edge Display ", Integrated ,"₹59,990.00",,,,,,,,,,,,
110, Dell , 3380-cr , 13.3 Inches , Grey , 256 GB , Core i5 Family , 16 GB , Windows 10 Pro , Thin , Integrated ,"₹18,499.00",,,,,,,,,,,,
111, Lenovo , Thinkpad , 14 Inches , Black , 500 GB , Core i5 , 4 GB , Windows 7 , HD Audio , Integrated ,"₹13,340.00",,,,,,,,,,,,
112, Lenovo , Lenovo Ideapad Duet Chromebook , 25.65 Centimetres , Gray , 128 GB ,, 4 GB , Chrome OS , E-Mail , Integrated ,"₹25,999.00", MediaTek ,,,,,,,,,,,
113, Lenovo , L13 , 14 Inches ,, 256 GB , Core i5 6200U , 8 GB , Windows 10 Pro , HDMI , Integrated ,"₹19,490.00",, 2.5 GHz ,,,,,,,,,,
114, Dell , Dell Latitude-cr , 12.5 Inches ,, 256 GB , Intel Core i5 , 8 GB , Windows 10 ," Webcam, Light Weight, Thin ", Integrated ,"₹17,990.00", Intel® HD Graphics 5500 ,,,,,,,,,,,
115, Lenovo , V15 , 15.6 Inches ,, 512 GB , Ryzen 5 5500U , 8 GB , Windows ," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹38,490.00", AMD Radeon Graphics ,,,,,,,,,,,
116, Lenovo , T460-cr , 14 Inches ,, 1 TB , Core i5 Family , 16 GB , Windows 10 Pro ,, Integrated ,"₹21,684.00",, 2.4 GHz , SSD ,,,,,,,,,
117, Redmi , RedmiBook 15 , 39.62 Centimetres , Charcoal Gray , 256 GB , Core i3 , 8 GB , Windows 10 Home ," Memory Card Slot, Anti Glare Coating ", Integrated ,"₹24,990.00",,,,,,,,,,,,
118, Lenovo , E41-55 , 14 ,, 512 GB , Ryzen 3 , 8 GB , Windows ,, Integrated ,"₹29,499.00",, 4.4 GHz , SSD ,,,,,,,,,
119, Lenovo , S14 , 14 Inches , Silver , 512 GB , Core i5 Family , 16 GB , Windows 11 ,"  Fingerprint Reader, HD Audio, Spill resistant, Backlit Keyboard, Memory Card Slot, Anti Glare Coating  See more  ", Integrated ,"₹56,999.00",,,,,,,,,,,,
120, Dell , Vostro 3510 , 39.63 Centimetres , Gray , 1 TB , Core i3 , 8 GB , Windows 11 ,  Minimizes the time you spend tethered to an outlet and will recharge your battery in a flash (up to 80% in 60 minutes*).  See more  , Integrated ,"₹44,999.00",,,,,,,,,,,,
121, Lenovo , ThinkPad , 14 Inches ,, 256 GB , Intel Core i3 , 8 GB , Windows 10 Pro ," Webcam, Light Weight, Thin ", Integrated ,"₹16,296.00", Intel HD Graphics ,,,,,,,,,,,
122, HP , 14-ec1005AU , 35.6 Centimetres , Natural Silver , 512 GB , Ryzen 5 , 16 GB , Windows 11 Home ," Bright View, FHD, Backlit Keyboard, Micro-Edge Display ", Dedicated ,"₹56,990.00",,,,,,,,,,,,
123, HP , 13-be2056AU , 33.8 Centimetres , Pale Rose Gold , 512 GB , Ryzen 5 , 16 GB , Windows 11 Home ," Fingerprint Reader, Temporal noise reduction, Backlit Keyboard, Micro-Edge Display, Anti-Glare ", Integrated ,"₹67,990.00",,,,,,,,,,,,
124, HP , HP Pavilion 14-ec1003AU , 14 Inches , Natural Silver ,, Ryzen 5 , 8 GB , Windows 11 Home ," FHD, Micro-Edge Display ", Integrated ,"₹52,990.00", AMD Radeon Graphics ,,,,,,,,,,,
125, Lenovo , Lenovo IdeaPad-cr , 14 Inches ,, 256 GB , Intel Core i3 , 12 GB , Windows 11 ," Webcam, Light Weight, Thin ", Integrated ,"₹17,393.00", Intel HD Graphics 520 ,,,,,,,,,,,
126, HP , 15-fc0025AU , 39.6 Centimetres , Natural Silver , 512 GB , Ryzen 3 , 8 GB , Windows 11 Home ," FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare ", Integrated ,"₹39,490.00",,,,,,,,,,,,
127, Dell , Latitude , 14 Inches , Grey , 120 GB , Core i3 , 4 GB , Windows 7 ,, Integrated ,"₹13,499.00", Integrated Graphics ,,,,,,,,,,,
128, Dell , Vostro 3510 , 39.63 Centimetres , Gray , 1 TB , Core i3 , 8 GB , Windows 11 ,  minimizes the time you spend tethered to an outlet and will recharge your battery in a flash (up to 80% in 60 minutes*).  See more  , Integrated ,"₹44,999.00",,,,,,,,,,,,
129, Lenovo , Lenovo , 15.6 Inches , Iron Grey ,, Celeron N4020 , 4 GB , DOS , Anti Glare Screen , Integrated ,"₹27,990.00", Intel Celeron Processor N4020 ,,,,,,,,,,,
130, ASUS , Vivobook 14 OLED (2022) , 35.56 Centimetres , Indie Black , 512 GB , Core i3 , 8 GB , Windows 11 Home ," Backlit Keyboard, Fingerprint Reader, Multi-touch Gesture, Light Weight ", Integrated ,"₹48,990.00",,,,,,,,,,,,
131, HP , 15-fc0028AU , 39.6 Centimetres , Natural Silver , 512 GB , Ryzen 5 , 8 GB , Windows 11 Home ," FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare, Numeric Keypad ", Integrated ,"₹46,990.00",,,,,,,,,,,,
132, Lenovo , L13 , 14 Inches ,, 256 GB , Core i5 6200U , 8 GB , Windows 10 Pro , HDMI , Integrated ,"₹19,490.00",, 2.5 GHz ,,,,,,,,,,
133, HP , 16-e0350ax , 39.6 Centimetres , Performance Blue , 512 GB , AMD Ryzen 5 5600X , 16 GB , Windows 11 Home ," FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare ", Dedicated ,"₹64,990.00",,,,,,,,,,,,
134, Infinix , INBook X1 Neo , 14 Inches , Cosmic Blue , 128 GB , Celeron N , 4 GB , Windows 11 Home ," Light Weight, Thin ", Integrated ,"₹23,990.00",,,,,,,,,,,,
135, ASUS , Vivobook Go 15 (2023) , 15.6 Inches , Cool Silver , 512 GB , Core i3 , 8 GB , Windows 11 Home , Backlit Keyboard , Integrated ,"₹38,890.00",,,,,,,,,,,,
136, HP , Probook x360 11 G2 EE Multi-Touch 2-in-1 Laptop , 11.6 Inches ,, 512 GB , Core_m , 8 GB , Windows 10 Pro , Thin , Integrated ,"₹21,490.00",, 1.61 GHz ,,,,,,,,,,
137, Dell , Dell Latitude-cr , 12.5 Inches ,, 256 GB , Intel Core i5 , 8 GB , Windows 10 ," Webcam, Light Weight, Thin ", Integrated ,"₹17,990.00", Intel® HD Graphics 5500 ,,,,,,,,,,,
138, Dell , Inspiron 3511 , 15.6 Inches , Platinum Silver , 1256 GB , Core i3 , 8 GB , Windows 11 , Numeric Keypad , Integrated ,"₹39,990.00",,,,,,,,,,,,
139, Honor , NMH-WFQ9HN , 14 Inches , Mystic Silver , 512 GB , AMD Ryzen 5 5500U , 16 GB , Windows 11 Home ," Fingerprint Reader, High Definition Audio, TrackPoint, Backlit Keyboard, Anti Glare Coating ", Integrated ,"₹41,990.00",,,,,,,,,,,,
140, Lenovo ,, 15.6 Inches , Platinum Grey , 512 GB , Core i3 , 8 GB ,," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹38,479.00",,, Solid State Hard Drive ,,,, 1080p ,,,,,
141, ASUS , Vivobook S 14 Flip , 35.56 Centimetres , Silver , 512 GB , Ryzen 5 , 8 GB , Windows 11 Home ," Fingerprint Reader, HD Audio, Backlit Keyboard, Support Stylus ", Integrated ,"₹60,870.00",,,,,,,,,,,,
142, Lenovo , T460-cr , 14 Inches ,, 1 TB , Core i5 Family , 16 GB , Windows 10 Pro ,, Integrated ,"₹21,684.00",, 2.4 GHz , SSD ,,,,,,,,,
143, Lenovo , 81WB01G0IN , 15.6 Centimetres , Gray , 512 GB , Core i5-10210U , 8 GB , ‎Windows 11 Home ," Anti Glare Screen, Light Weight, Thin ", Dedicated ,"₹45,990.00",,,,,,,,,,,,
144, Lenovo , 82RK0017US , 15.6 ,,, Intel Core i5 , 8 GB , Windows 11 Pro ,, Integrated ,"₹49,990.00",, 1.3 GHz , SSD ,,,,, 2 ,,,,
145, Dell , Latitude , 12.5 Inches , Black , 256 GB , Core i7 5600U , 256 GB , Windows 10 Pro ,,,"₹19,065.00", Intel graphics ,, SSD ,,,,,,,,,
146, HP , 15s- eq2213AU , 39.6 Centimetres , Silver , 512 GB , Ryzen 3 , 8 GB , Windows 11 Home ," FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare ", Integrated ,"₹38,990.00",,,,,,,,,,,,
147, Lenovo , Lenovo ThinkPad-cr , 13.3 Inches , Black , 256 GB , Core i5 7200U , 8 GB , Windows 11 Pro , Anti Glare Screen , Integrated ,"₹18,999.00",,,,,,,,,,,,
148, ASUS , VivoBook 14 , 14 Inches , Silver , 256 GB , Pentium , 256 GB , Windows ," Anti Glare Screen, Light Weight, Thin ",,"₹29,489.00", Intel UHD Graphics 600 ,,,,,,,,,,,
149, Lenovo , Lenovo V15 , 15.6 Inches , Iron Grey , 512 GB , Core i5 , 8 GB , DOS ," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹49,999.00",,,,,,,,,,,,
150, Xiaomi , Mi Notebook , 14 Inches , Lustrous Gray , 512 GB , Core i5 , 16 GB , Windows 11 Home ," Fingerprint Reader, Lightweight, Backlit Keyboard, Anti Glare Coating ", Integrated ,"₹61,999.00",,,,,,,,,,,,
151, Dell , 3180 , 11.6 Inches ,, 256 GB , Pentium N4200 , 4 GB , Windows 10 Pro ," Portable, Light Weight ", Dedicated ,"₹13,438.00",, 1.1 GHz ,,,,,,,,,,
152, ASUS , X515EA-EJ322WS , 15.6 Inches , Transparent Silver , 512 GB , Core i3 , 8 GB , Windows 11 Home ," fingerprint_reader, light_weight, Anti Glare Coating ", Integrated ,"₹37,499.00",,,,,,,,,,,,
153, Lenovo , Thinkpad , 12.5 Inches , Black , 512 GB , Core i5 4300U , 512 GB , Windows 10 Pro ,,,"₹17,356.00", Intel ,, SSD ,,,,,,,,,
154, HP , 840g3 , 14 Inches , Silver , 512 GB , Core i5 6200U , 512 GB , Windows , Light Weight ,,"₹20,393.00", Intel HD Graphics ,,,,,,,,,,,
155, Dell , Vostro 3420 , 14 Inches , Titan Grey , 512 GB , Core i3 , 8 GB , Windows 11 Home , Thin , Integrated ,"₹39,990.00",,,,,,,,,,,,
156, Dell , Dell Latitude 5400 , 14 Inches , Black , 256 GB , Core i5 8250U , 16 GB , Windows 10 Pro ,, Integrated ,"₹27,994.00",, 1.9 GHz ,,,,,,,,,,
157, ASUS , Vivobook 15 , 39.62 Centimetres , Quiet Blue , 512 GB , Core i3 , 8 GB , Windows 11 Home ," 60Hz Refresh Rate, FingerPrint, FHD (1920 x 1080), Chiclet Keyboard ", Integrated ,"₹45,500.00",,,,,,,,,,,,
158, HP , 15a- na0008TU , 39.6 Centimetres , Mineral Silver , 128 GB , Celeron , 4 GB , Chrome OS ," Micro-edge, Anti-glare, HD, Micro-Edge Display ", Integrated ,"₹28,900.00",,,,,,,,,,,,
159, HP , 6X4B2PA , 15.6 Inches , Black , 256 GB , Athlon 3050U , 4 GB , DOS ," Light Weight, Thin ", Integrated ,"₹22,990.00",,,,,,,,,,,,
160, Lenovo , IdeaPad Gaming 3 15IHU6 , 15.6 Inches , Shadow Black ,, Core i5 , 16 GB , Windows 11 Home ," Light Weight, Backlit Keyboard, Anti Glare Coating ", Dedicated ,"₹68,990.00", NVIDIA GeForce RTX 3050 ,,,,,,,,,,,
161, HP , 840G5-cr , 14.1 Inches ,, 512 GB , Core i5 8250U , 16 GB , Windows 10 Pro , Thin , Integrated ,"₹29,980.00",, 1.7 GHz ,,,,,,,,,,
162, Dell , Latitude , 14 Inches , Grey , 240 GB , Core i3 , 4 GB , Windows 7 ,, Integrated ,"₹15,094.00", Integrated Graphics ,,,,,,,,,,,
163, Dell , New Inspiron 15 Laptop , 15.6 Inches , Carbon Black , 512 GB , Core i5 , 8 GB , Windows 11 Home ,, Integrated ,"₹61,428.00",, 3.4 GHz ,,,,,,,,,,
164, HP , 15s-ey1508AU , 15.6 Inches , Black , 256 GB , Ryzen 3 , 8 GB , Windows 11 Home ," Micro-Edge Display, HD ", Integrated ,"₹33,400.00",,,,,,,,,,,,
165, Dell , DELL LATITUDE 7390-cr , 14 Inches , Black , 256 GB , Core i5 8250U , 8 GB , Windows 10 Pro , Webcam , Integrated ,"₹24,999.00",,,,,,,,,,,,
166, Lenovo , LENOVO E41-55 , 14 Inches , Black , 1 TB , Athlon , 4 GB , Windows 10 Home ," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹19,479.00",,,,,,,,,,,,
167, Lenovo , Lenovo V15 , 15.6 Inches , Iron Grey , 512 GB , Core i5 Family , 8 GB , Windows 11 Home ," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹49,999.00",,,,,,,,,,,,
168, ASUS , Vivobook Go 14 (2023) , 14 Inches , Mixed Black , 512 GB , Ryzen 5 , 8 GB , Windows 11 Home , Anti Glare Coating , Integrated ,"₹49,410.00",,,,,,,,,,,,
169, Lenovo , Lenovo Thinkpad L450-cr , 14 Inches ,, 512 GB , Intel Core i5 , 8 GB , Windows 11 ," Webcam, Light Weight, Thin ", Integrated ,"₹19,994.00", Intel HD Graphics 520 ,,,,,,,,,,,
170, Lenovo , Lenovo E41-55 , 14 Inches , Grey ,, Athlon Silver 3050U , 4 GB , DOS ," Portable, Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹18,890.00", Intel GMA 3150 ,,,,,,,,,,,
171, ASUS , Vivobook S 14 Flip (2022) , 35.56 Centimetres , Cool Silver , 512 GB ,, 16 GB , Windows 11 Home , 1080p FHD camera with privacy shutter , Integrated ,"₹61,990.00", AMD Radeon Graphics ,,,,,,,,,,,
172, HP , 14s-dy5005TU , 35.6 Centimetres , Natural Silver , 512 GB , Intel Core i5 , 16 GB , Windows 11 Home ," Full HD, Micro-Edge Display ", Integrated ,"₹50,991.00",,,,,,,,,,,,
173, HP ,, 14.5 Inches , Silver , 500 GB , Core i5-6267U , 8 GB , Windows 10 Pro , Anti Glare Screen , Integrated ,"₹19,604.00", Intel ,,,,,,,,,,,
174, Lenovo , V14 ADA , 14 Inches , Iron Grey , 1 TB , Atom Z8700 , 4 GB , DOS , anti reflective , Integrated ,"₹27,499.00",,,,,,,,,,,,
175, ASUS , Vivobook 16X , 40.64 Centimetres , Transparent Silver , 512 GB , Ryzen 7 , 16 GB , Windows 11 Home ,"  FingerPrint, with Alexa voice-recognition support, Backlit Keyboard, FHD+ (1920 x 1200, WUXGA) 16:10 aspect ratio, Anti Glare Coating  See more  ", Integrated ,"₹50,141.00",,,,,,,,,,,,
176, Lenovo , Lenovo V14 , 14 Inches , Iron Grey , 512 GB , Core i5 , 8 GB , DOS ," Anti Glare Screen, Thin ", Integrated ,"₹46,680.00",,,,,,,,,,,,
177, Lenovo , Lenovo Thinkpad T450 , 14 Inches , Multi-Colour , 256 GB , Ryzen 3 5300U , 256 GB , Windows 10 Pro , Webcam , Integrated ,"₹17,398.00",,,,,,,,,,,,
178, Lenovo , TB 15 G4 , 15.6 Inches , Mineral Grey , 512 GB , Core i5 , 16 GB , Windows 11 Home , Fingerprint Reader , Integrated ,"₹58,990.00",,,,,,,,,,,,
179, HP , HP ProBook 445 G8 Notebook , 35.6 Centimetres , Pike Silver Aluminum , 512 GB , Ryzen 7 , 8 GB , DOS ," FHD, IPS Display, Anti-glare Display ", Integrated ,"₹46,990.00",,,,,,,,,,,,
180, Lenovo , ThinkPad E14 Gen 4 (Intel) , 14 Inches ,,, Core i3 Family , 8 GB ," Windows® 11 Pro, English ",, Integrated ,"₹62,499.00",, 4.4 GHz , SSD ,,,,,, 1 ,,,
181, Lenovo , L380 yoga , 13.3 Inches ,, 512 GB , Core i5 8250U , 32 GB , Windows 10 Pro , Touch Screen , Integrated ,"₹32,990.00",, 1.6 GHz ,,,,,,,,,,
182, Lenovo , T470 , 14 Inches ,, 512 GB , Core i5 7200U , 16 GB , Windows 10 Pro , HDMI , Integrated ,"₹27,490.00",, 2.5 GHz ,,,,,,,,,,
183, HP , 14-dv2053TU , 14 Inches , Natural Silver ,, Core i5 , 8 GB , Windows 11 Home ," Full HD, Micro-Edge Display ", Integrated ,"₹62,490.00", Intel UHD Graphics ,,,,,,,,,,,
184, Lenovo , Lenovo V15 , 15.6 Inches , Iron Grey , 512 GB , Core i5 Family , 8 GB , Windows 11 Home ," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹49,999.00",,,,,,,,,,,,
185, Lenovo , L13 , 14 Inches ,, 1 TB , Core i5 6200U , 32 GB , Windows 10 Pro , HDMI , Integrated ,"₹26,690.00",, 2.5 GHz ,,,,,,,,,,
186, ASUS , Vivobook 16X , 16 Inches , Silver , 512 GB , Core i5 , 8 GB , Windows 11 Home ," Fingerprint Reader, Backlit Keyboard ", Dedicated ,"₹64,990.00",,,,,,,,,,,,
187, ASUS , Vivobook 15 (2023) , 15.6 Inches , Cool Silver , 512 GB , Core i3 , 8 GB , Windows 11 Home , Backlit Keyboard , Integrated ,"₹45,750.00",,,,,,,,,,,,
188, Dell ,, 15.6 Inches ,, 512 GB ,, 8 GB ,, Portable ,,"₹38,769.00",,, Solid State Hard Drive , 413 Grams ," USB, HDMI ", Intel ,, 3 ,,,,
189, Lenovo , E14 Gen 4 , 14 Inches , Black , 1 TB , Core i5 , 16 GB , Windows 11 Home ," Fingerprint Reader, Backlit Keyboard ", Integrated ,"₹74,990.00",,,,,,,,,,,,
190, Lenovo , Ideapad Slim 3 15ITL6 , 15.6 Inches , Arctic Grey ,, Core i5 , 8 GB , Windows 11 Home ," Anti Glare Screen, Built-in Microphone ", Integrated ,"₹48,999.00", Intel UHD Graphics ,,,,,,,,,,,
191, MSI , GF63 Thin 11SC-852IN , 40 Inches , Black ,, Intel Core i7 , 8 GB , Windows 10 Home ," Light Weight, Backlit Keyboard, Thin, Built-in Microphone ", Dedicated ,"₹72,100.00", NVIDIA GeForce GTX 1650 Max-Q ,,,,,,,,,,,
192, ASUS , X543MA , 15.6 Inches , Silver , 1 TB , Celeron , 4 GB , Windows 10 Home , Anti reflective , Integrated ,"₹22,490.00",,,,,,,,,,,,
193, Dell , Inspiron 5320 , 13.3 , Platinum Silver , 512 GB , Core i7 , 16 GB , Windows 11 ," Fingerprint Reader, Backlit Keyboard ", Integrated ,"₹89,990.00",,,,,,,,,,,,
194, Dell ,, 15.6 Inches ,, 512 GB ,, 8 GB ,, Portable ,,"₹38,769.00",,, Solid State Hard Drive , 413 Grams ," USB, HDMI ", Intel ,, 3 ,,,,
195, ASUS , Vivobook Go 15 (2023) , 15.6 Inches , Green Grey , 512 GB , Ryzen 5 , 16 GB , Windows 11 Home , Anti Glare Coating , Integrated ,"₹50,990.00",,,,,,,,,,,,
196, Lenovo , Thinkpad T480-cr , 14 Inches , Black , 256 GB , Core i5 Family , 16 GB , Windows 10 Pro , High Definition Audio , Intel uhd Graphics ,"₹26,500.00",,,,,,,,,,,,
197, Dell , Vostro , 14 Inches , Titan Grey , 512 GB , Core i5 , 16 GB , Windows 11 Home ," Fingerprint Reader, Backlit Keyboard ", Integrated ,"₹65,990.00",,,,,,,,,,,,
198, Dell , DELL LATITUDE 7390-cr , 13 Inches , Black , 256 GB , Core i5 8250U , 8 GB , Windows 10 Pro , Webcam , Integrated ,"₹23,000.00",,,,,,,,,,,,
199, HP , Hp EliteBook-cr , 14 Inches ,, 256 GB , Intel Core i5 , 8 GB , Windows 11 ," Webcam, Light Weight, Thin ", Integrated ,"₹19,419.00", Intel HD Graphics 520 ,,,,,,,,,,,
200, HP , Probook x360 11 G2 EE-cr , 11.6 Inches ,, 128 GB , core_m , 4 GB , Windows 10 Pro , Thin , Integrated ,"₹17,990.00",, 1 GHz ,,,,,,,,,,
201, Dell , E7280 , 12.5 Inches ,, 128 GB , Core i5-6260U , 8 GB , Windows 10 Pro , Thin , Integrated ,"₹17,621.00",, 2.4 GHz ,,,,,,,,,,
202, Lenovo , Lenovo V15 , 15.6 Inches , Iron Grey , 512 GB , AMD Ryzen 5 5500U , 8 GB , DOS ," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹38,999.00",,,,,,,,,,,,
203, MSI , 9S7-14J312-030 , 14 , Classic Black , 512 GB , Core i5 Family , 8 GB , Windows 10 Home ," Light Weight, Backlit Keyboard, Thin, Built-in Microphone ", Integrated ,"₹46,990.00",,,,,,,,,,,,
204, Lenovo , Lenovo E41-55 , 14 Inches , Iron Grey , 1 TB , Ryzen 3 3250U , 8 GB , DOS ," Portable, Anti Glare Screen, Light Weight ", Integrated ,"₹29,990.00",,,,,,,,,,,,
